Freq,Success,Trials,Group
140,147,4046560,TF
141,3,68808,Roku
141,129,4010604,TF
142,1,68302,Roku
142,123,3941068,TF
143,4,69498,Roku
143,134,3930069,TF
144,3,59760,Roku
144,129,3922272,TF
145,1,63220,Roku
145,148,3838875,TF
146,1,63802,Roku
146,122,3818338,TF
147,3,65121,Roku
147,120,3722922,TF
148,2,66896,Roku
148,119,3739516,TF
149,4,63921,Roku
149,103,3672999,TF
150,5,63300,Roku
150,118,3691950,TF
151,0,64326,Roku
151,108,3626265,TF
152,1,58824,Roku
152,106,3600728,TF
153,1,57222,Roku
153,115,3547611,TF
154,4,60214,Roku
154,111,3536456,TF
155,1,58745,Roku
155,112,3502380,TF
156,2,55536,Roku
156,106,3538080,TF
157,1,55735,Roku
157,118,3447249,TF
158,2,54984,Roku
158,106,3408850,TF
159,1,52947,Roku
159,97,3309108,TF
160,2,51360,Roku
160,107,3332000,TF
161,3,57477,Roku
161,78,3282629,TF
162,2,55242,Roku
162,98,3255228,TF
163,1,59169,Roku
163,91,3267498,TF
164,1,49692,Roku
164,93,3220304,TF
165,3,51315,Roku
165,86,3170805,TF
166,1,48472,Roku
166,101,3168110,TF
167,3,50935,Roku
167,92,3138598,TF
168,2,46536,Roku
168,95,3142944,TF
169,1,46475,Roku
169,96,3081546,TF
170,3,49470,Roku
170,93,3059150,TF
171,4,47196,Roku
171,85,3028752,TF
172,4,46956,Roku
172,85,2997444,TF
173,0,46191,Roku
173,89,2964528,TF
174,3,46806,Roku
174,86,2975922,TF
175,0,51450,Roku
175,82,2893100,TF
176,5,47344,Roku
176,108,2911744,TF
177,3,44958,Roku
177,79,2905632,TF
178,2,46458,Roku
178,73,2878794,TF
179,1,43318,Roku
179,88,2819429,TF
180,1,45000,Roku
180,96,2802600,TF
181,0,41087,Roku
181,71,2802423,TF
182,0,41314,Roku
182,82,2789878,TF
183,0,40992,Roku
183,78,2704740,TF
184,3,44160,Roku
184,98,2723016,TF
185,1,40515,Roku
185,62,2699150,TF
186,3,41292,Roku
186,72,2683422,TF
187,2,39270,Roku
187,67,2625293,TF
188,4,40796,Roku
188,75,2618840,TF
189,1,38556,Roku
189,70,2646000,TF
190,5,38190,Roku
190,65,2624090,TF
191,3,39155,Roku
191,60,2551760,TF
192,3,38784,Roku
192,58,2585664,TF
193,0,40337,Roku
193,49,2524826,TF
194,0,34338,Roku
194,66,2493870,TF
195,0,36660,Roku
195,81,2521740,TF
196,0,33712,Roku
196,73,2480184,TF
197,0,37036,Roku
197,49,2427631,TF
198,1,39798,Roku
198,62,2421738,TF
199,1,37213,Roku
199,51,2374866,TF
200,3,33800,Roku
200,60,2408600,TF
201,1,39597,Roku
201,59,2368785,TF
202,2,35956,Roku
202,49,2362794,TF
203,0,36337,Roku
203,40,2331252,TF
204,1,39984,Roku
204,58,2352324,TF
205,0,33620,Roku
205,61,2284725,TF
206,2,36462,Roku
206,55,2267030,TF
207,1,34983,Roku
207,61,2283831,TF
208,1,35568,Roku
208,56,2249936,TF
209,3,32604,Roku
209,57,2212474,TF
210,1,34650,Roku
210,49,2232300,TF
211,0,30384,Roku
211,43,2197354,TF
212,2,32648,Roku
212,51,2179784,TF
213,1,30246,Roku
213,52,2144697,TF
214,3,33170,Roku
214,48,2203772,TF
215,0,34185,Roku
215,48,2141185,TF
216,0,28728,Roku
216,51,2145096,TF
217,2,31899,Roku
217,59,2117920,TF
218,0,33354,Roku
218,68,2120704,TF
219,0,27156,Roku
219,33,2053782,TF
220,1,30360,Roku
220,38,2088020,TF
221,1,26741,Roku
221,36,2058615,TF
222,1,27306,Roku
222,56,2051280,TF
223,1,30105,Roku
223,37,1999195,TF
224,0,27104,Roku
224,48,1986432,TF
225,2,26325,Roku
225,42,1953225,TF
226,0,28702,Roku
226,46,1950380,TF
227,1,32688,Roku
227,39,2000097,TF
228,1,28956,Roku
228,57,1936404,TF
229,0,21755,Roku
229,42,1931386,TF
230,2,25070,Roku
230,38,1934070,TF
231,0,29106,Roku
231,44,1909677,TF
232,0,27144,Roku
232,42,1895208,TF
233,3,25164,Roku
233,40,1833943,TF
234,1,33462,Roku
234,35,1868958,TF
235,4,25145,Roku
235,48,1850155,TF
236,0,26904,Roku
236,39,1845992,TF
237,0,24885,Roku
237,27,1813050,TF
238,1,23324,Roku
238,39,1826888,TF
239,0,21510,Roku
239,48,1792500,TF
240,1,27840,Roku
240,35,1808160,TF
241,0,28920,Roku
241,33,1785328,TF
242,1,22022,Roku
242,47,1788864,TF
243,0,26730,Roku
243,37,1746927,TF
244,1,20740,Roku
244,36,1757532,TF
245,1,21805,Roku
245,35,1731660,TF
246,2,23370,Roku
246,31,1758408,TF
247,1,21242,Roku
247,36,1720108,TF
248,0,20088,Roku
248,36,1687640,TF
249,0,25149,Roku
249,30,1659336,TF
250,2,20500,Roku
250,36,1659500,TF
251,0,27610,Roku
251,32,1673919,TF
252,0,24696,Roku
252,32,1644804,TF
253,0,24794,Roku
253,28,1617176,TF
254,0,21590,Roku
254,26,1623060,TF
255,2,28305,Roku
255,37,1601655,TF
256,1,24576,Roku
256,36,1596160,TF
257,1,27499,Roku
257,29,1586461,TF
258,1,22704,Roku
258,32,1616112,TF
259,1,18648,Roku
259,34,1578087,TF
260,0,24440,Roku
260,29,1581840,TF
261,0,23229,Roku
261,27,1551123,TF
262,0,19388,Roku
262,21,1519600,TF
263,0,22092,Roku
263,32,1548018,TF
264,3,24552,Roku
264,27,1511664,TF
265,0,18020,Roku
265,25,1561645,TF
266,3,21546,Roku
266,29,1503698,TF
267,0,20559,Roku
267,16,1497603,TF
268,1,23316,Roku
268,27,1495440,TF
269,1,20713,Roku
269,17,1504786,TF
270,1,18630,Roku
270,29,1436130,TF
271,1,22764,Roku
271,30,1466923,TF
272,1,19312,Roku
272,31,1449488,TF
273,1,20202,Roku
273,23,1396122,TF
274,0,19180,Roku
274,27,1393838,TF
275,1,21450,Roku
275,19,1383525,TF
276,4,17664,Roku
276,25,1444032,TF
277,0,19944,Roku
277,26,1409376,TF
278,0,18904,Roku
278,33,1434758,TF
279,0,17298,Roku
279,23,1399743,TF
280,0,15680,Roku
280,22,1391320,TF
281,0,15455,Roku
281,23,1386454,TF
282,0,16074,Roku
282,20,1324554,TF
283,1,16980,Roku
283,27,1361513,TF
284,0,16472,Roku
284,28,1360076,TF
285,0,18240,Roku
285,30,1368855,TF
286,0,15158,Roku
286,16,1328756,TF
287,0,14350,Roku
287,24,1297527,TF
288,1,16704,Roku
